Title
Machine learning

Section,Paragraph
Applications,"Machine learning is also emerging as a promising tool in geotechnical engineering, where it is used to support tasks such as ground classification, hazard prediction, and site characterization. Recent research emphasizes a move toward data-centric methods in this field, where machine learning is not a replacement for engineering judgment, but a way to enhance it using site-specific data and patterns.[123]"
Limitations,"Although machine learning has been transformative in some fields, machine-learning programs often fail to deliver expected results.[124][125][126] Reasons for this are numerous: lack of (suitable) data, lack of access to the data, data bias, privacy problems, badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems.[127]"
Limitations,"The ""black box theory"" poses another yet significant challenge. Black box refers to a situation where the algorithm or the process of producing an output is entirely opaque, meaning that even the coders of the algorithm cannot audit the pattern that the machine extracted out of the data.[128] The House of Lords Select Committee, which claimed that such an ""intelligence system"" that could have a ""substantial impact on an individual's life"" would not be considered acceptable unless it provided ""a full and satisfactory explanation for the decisions"" it makes.[128]"
Limitations,"In 2018, a self-driving car from Uber failed to detect a pedestrian, who was killed after a collision.[129] Attempts to use machine learning in healthcare with the IBM Watson system failed to deliver even after years of time and billions of dollars invested.[130][131] Microsoft's Bing Chat chatbot has been reported to produce hostile and offensive response against its users.[132]"
Limitations,"Machine learning has been used as a strategy to update the evidence related to a systematic review and increased reviewer burden related to the growth of biomedical literature. While it has improved with training sets, it has not yet developed sufficiently to reduce the workload burden without limiting the necessary sensitivity for the findings research themselves.[133]"
Limitations,"Explainable AI (XAI), or Interpretable AI, or Explainable Machine Learning (XML), is artificial intelligence (AI) in which humans can understand the decisions or predictions made by the AI.[134] It contrasts with the ""black box"" concept in machine learning where even its designers cannot explain why an AI arrived at a specific decision.[135] By refining the mental models of users of AI-powered systems and dismantling their misconceptions, XAI promises to help users perform more effectively. XAI may be an implementation of the social right to explanation."
Limitations,"Settling on a bad, overly complex theory gerrymandered to fit all the past training data is known as overfitting. Many systems attempt to reduce overfitting by rewarding a theory in accordance with how well it fits the data but penalising the theory in accordance with how complex the theory is.[136]"
Limitations,"Learners can also disappoint by ""learning the wrong lesson"". A toy example is that an image classifier trained only on pictures of brown horses and black cats might conclude that all brown patches are likely to be horses.[137] A real-world example is that, unlike humans, current image classifiers often do not primarily make judgements from the spatial relationship between components of the picture, and they learn relationships between pixels that humans are oblivious to, but that still correlate with images of certain types of real objects. Modifying these patterns on a legitimate image can result in ""adversarial"" images that the system misclassifies.[138][139]"
Limitations,"Adversarial vulnerabilities can also result in nonlinear systems, or from non-pattern perturbations. For some systems, it is possible to change the output by only changing a single adversarially chosen pixel.[140] Machine learning models are often vulnerable to manipulation or evasion via adversarial machine learning.[141]"
Limitations,"Researchers have demonstrated how backdoors can be placed undetectably into classifying (e.g., for categories ""spam"" and well-visible ""not spam"" of posts) machine learning models that are often developed or trained by third parties. Parties can change the classification of any input, including in cases for which a type of data/software transparency is provided, possibly including white-box access.[142][143][144]"
Model assessments,"Classification of machine learning models can be validated by accuracy estimation techniques like the holdout method, which splits the data in a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set. In comparison, the K-fold-cross-validation method randomly partitions the data into K subsets and then K experiments are performed each respectively considering 1 subset for evaluation and the remaining K-1 subsets for training the model. In addition to the holdout and cross-validation methods, bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy.[145]"
Model assessments,"In addition to overall accuracy, investigators frequently report sensitivity and specificity meaning true positive rate (TPR) and true negative rate (TNR) respectively. Similarly, investigators sometimes report the false positive rate (FPR) as well as the false negative rate (FNR). However, these rates are ratios that fail to reveal their numerators and denominators. Receiver operating characteristic (ROC) along with the accompanying Area Under the ROC Curve (AUC) offer additional tools for classification model assessment. Higher AUC is associated with a better performing model.[146]"
Ethics,"The ethics of artificial intelligence covers a broad range of topics within AI that are considered to have particular ethical stakes.[147] This includes algorithmic biases, fairness,[148] automated decision-making,[149] accountability, privacy, and regulation. It also covers various emerging or potential future challenges such as machine ethics (how to make machines that behave ethically), lethal autonomous weapon systems, arms race dynamics, AI safety and alignment, technological unemployment, AI-enabled misinformation, how to treat certain AI systems if they have a moral status (AI welfare and rights), artificial superintelligence and existential risks.[147]"
Ethics,"Different machine learning approaches can suffer from different data biases. A machine learning system trained specifically on current customers may not be able to predict the needs of new customer groups that are not represented in the training data. When trained on human-made data, machine learning is likely to pick up the constitutional and unconscious biases already present in society.[150]"
Ethics,"Systems that are trained on datasets collected with biases may exhibit these biases upon use (algorithmic bias), thus digitising cultural prejudices.[151] For example, in 1988, the UK's Commission for Racial Equality found that St. George's Medical School had been using a computer program trained from data of previous admissions staff and that this program had denied nearly 60 candidates who were found to either be women or have non-European sounding names.[150] Using job hiring data from a firm with racist hiring policies may lead to a machine learning system duplicating the bias by scoring job applicants by similarity to previous successful applicants.[152][153] Another example includes predictive policing company Geolitica's predictive algorithm that resulted in ""disproportionately high levels of over-policing in low-income and minority communities"" after being trained with historical crime data.[154]"
Ethics,"While responsible collection of data and documentation of algorithmic rules used by a system is considered a critical part of machine learning, some researchers blame lack of participation and representation of minority population in the field of AI for machine learning's vulnerability to biases.[155] In fact, according to research carried out by the Computing Research Association (CRA) in 2021, ""female faculty merely make up 16.1%"" of all faculty members who focus on AI among several universities around the world.[156] Furthermore, among the group of ""new U.S. resident AI PhD graduates,"" 45% identified as white, 22.4% as Asian, 3.2% as Hispanic, and 2.4% as African American, which further demonstrates a lack of diversity in the field of AI.[156]"
Ethics,"Language models learned from data have been shown to contain human-like biases.[157][158] Because human languages contain biases, machines trained on language corpora will necessarily also learn these biases.[159][160] In 2016, Microsoft tested Tay, a chatbot that learned from Twitter, and it quickly picked up racist and sexist language.[161]"
Ethics,"In an experiment carried out by ProPublica, an investigative journalism organisation, a machine learning algorithm's insight into the recidivism rates among prisoners falsely flagged ""black defendants high risk twice as often as white defendants"".[154] In 2015, Google Photos once tagged a couple of black people as gorillas, which caused controversy. The gorilla label was subsequently removed, and in 2023, it still cannot recognise gorillas.[162] Similar issues with recognising non-white people have been found in many other systems.[163]"
Ethics,"Because of such challenges, the effective use of machine learning may take longer to be adopted in other domains.[164] Concern for fairness in machine learning, that is, reducing bias in machine learning and propelling its use for human good, is increasingly expressed by artificial intelligence scientists, including Fei-Fei Li, who said that ""[t]here's nothing artificial about AI. It's inspired by people, it's created by people, and—most importantly—it impacts people. It is a powerful tool we are only just beginning to understand, and that is a profound responsibility.""[165]"
Ethics,"There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines. This is especially true in the United States where there is a long-standing ethical dilemma of improving health care, but also increasing profits. For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes. There is potential for machine learning in health care to provide professionals an additional tool to diagnose, medicate, and plan recovery paths for patients, but this requires these biases to be mitigated.[166]"
Hardware,"Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for training deep neural networks (a particular narrow subdomain of machine learning) that contain many layers of nonlinear hidden units.[167] By 2019, graphics processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI.[168] OpenAI estimated the hardware compute used in the largest deep learning projects from AlexNet (2012) to AlphaZero (2017), and found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of 3.4 months.[169][170]"
Hardware,"Tensor Processing Units (TPUs) are specialised hardware accelerators developed by Google specifically for machine learning workloads. Unlike general-purpose GPUs and FPGAs, TPUs are optimised for tensor computations, making them particularly efficient for deep learning tasks such as training and inference. They are widely used in Google Cloud AI services and large-scale machine learning models like Google's DeepMind AlphaFold and large language models. TPUs leverage matrix multiplication units and high-bandwidth memory to accelerate computations while maintaining energy efficiency.[171] Since their introduction in 2016, TPUs have become a key component of AI infrastructure, especially in cloud-based environments."
Hardware,Neuromorphic computing refers to a class of computing systems designed to emulate the structure and functionality of biological neural networks. These systems may be implemented through software-based simulations on conventional hardware or through specialised hardware architectures.[172]
Hardware,"A physical neural network is a specific type of neuromorphic hardware that relies on electrically adjustable materials, such as memristors, to emulate the function of neural synapses. The term ""physical neural network"" highlights the use of physical hardware for computation, as opposed to software-based implementations. It broadly refers to artificial neural networks that use materials with adjustable resistance to replicate neural synapses.[173][174]"
Hardware,"Embedded machine learning is a sub-field of machine learning where models are deployed on embedded systems with limited computing resources, such as wearable computers, edge devices and microcontrollers.[175][176][177][178] Running models directly on these devices eliminates the need to transfer and store data on cloud servers for further processing, thereby reducing the risk of data breaches, privacy leaks and theft of intellectual property, personal data and business secrets. Embedded machine learning can be achieved through various techniques, such as hardware acceleration,[179][180] approximate computing,[181] and model optimisation.[182][183] Common optimisation techniques include pruning, quantisation, knowledge distillation, low-rank factorisation, network architecture search, and parameter sharing."
Software,Software suites containing a variety of machine learning algorithms include the following:

Internal Wikipedia Links
https://en.wikipedia.org/wiki/Logic_programming
https://en.wikipedia.org/wiki/Generative_adversarial_network
https://en.wikipedia.org/wiki/Generative_model
https://en.wikipedia.org/wiki/Occam_learning
https://en.wikipedia.org/wiki/Timeline_of_artificial_intelligence
https://en.wikipedia.org/wiki/Cognitive_systems_engineering
https://en.wikipedia.org/wiki/Task_(computing)
https://en.wikipedia.org/wiki/Handwriting_recognition
https://en.wikipedia.org/wiki/Computational_biology
https://en.wikipedia.org/wiki/Generative_pre-trained_transformer
https://en.wikipedia.org/wiki/Neural_Computation_(journal)
https://en.wikipedia.org/wiki/ElevenLabs
https://en.wikipedia.org/wiki/Deeplearning4j
https://en.wikipedia.org/wiki/Perceptron
https://en.wikipedia.org/wiki/Apache_SystemML
https://en.wikipedia.org/wiki/Artificial_intelligence_in_healthcare
https://en.wikipedia.org/wiki/Computer_network
https://en.wikipedia.org/wiki/Market_basket_analysis
https://en.wikipedia.org/wiki/Stable_Diffusion
https://en.wikipedia.org/wiki/Ethics_of_artificial_intelligence
https://en.wikipedia.org/wiki/Computational_statistics
https://en.wikipedia.org/wiki/AAAI_Conference_on_Artificial_Intelligence
https://en.wikipedia.org/wiki/Photograph_manipulation
https://en.wikipedia.org/wiki/Tom_M._Mitchell
https://en.wikipedia.org/wiki/Image_de-noising
https://en.wikipedia.org/wiki/Fei-Fei_Li
https://en.wikipedia.org/wiki/LIONsolver
https://en.wikipedia.org/wiki/Quantum_machine_learning
https://en.wikipedia.org/wiki/AlphaGo
https://en.wikipedia.org/wiki/Generalised_linear_model
https://en.wikipedia.org/wiki/Communication_protocol
https://en.wikipedia.org/wiki/Multivariate_normal_distribution
https://en.wikipedia.org/wiki/Artificial_intelligence_art
https://en.wikipedia.org/wiki/Rule-based_machine_learning
https://en.wikipedia.org/wiki/Marketing
https://en.wikipedia.org/wiki/Quasi-Newton_method
https://en.wikipedia.org/wiki/Ilya_Sutskever
https://en.wikipedia.org/wiki/Peter_E._Hart
https://en.wikipedia.org/wiki/Bernard_Widrow
https://en.wikipedia.org/wiki/Dartmouth_workshop
https://en.wikipedia.org/wiki/Outlier
https://en.wikipedia.org/wiki/Machine_code
https://en.wikipedia.org/wiki/Human-in-the-loop
https://en.wikipedia.org/wiki/Allen_Newell
https://en.wikipedia.org/wiki/Computational_social_science
https://en.wikipedia.org/wiki/Material_Engineering
https://en.wikipedia.org/wiki/Data_cleaning
https://en.wikipedia.org/wiki/Inductive_logic_programming
https://en.wikipedia.org/wiki/Image_processing
https://en.wikipedia.org/wiki/Imprecise_probability
https://en.wikipedia.org/wiki/Convolution
https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist)
https://en.wikipedia.org/wiki/Rendering_(computer_graphics)
https://en.wikipedia.org/wiki/Robert_Tibshirani
https://en.wikipedia.org/wiki/Learning_to_rank
https://en.wikipedia.org/wiki/Mathematical_induction
https://en.wikipedia.org/wiki/IEEE_Transactions_on_Pattern_Analysis_and_Machine_Intelligence
https://en.wikipedia.org/wiki/Canadians
https://en.wikipedia.org/wiki/Mean_shift
https://en.wikipedia.org/wiki/Association_for_Computational_Linguistics
https://en.wikipedia.org/wiki/SPSS_Modeler
https://en.wikipedia.org/wiki/Labeled_data
https://en.wikipedia.org/wiki/Applications_of_artificial_intelligence
https://en.wikipedia.org/wiki/NVIDIA_Maxine
https://en.wikipedia.org/wiki/Softmax_function
https://en.wikipedia.org/wiki/Expert_system
https://en.wikipedia.org/wiki/MXNet
https://en.wikipedia.org/wiki/Active_learning_(machine_learning)
https://en.wikipedia.org/wiki/Mathematical_optimisation
https://en.wikipedia.org/wiki/Possibility_theory
https://en.wikipedia.org/wiki/Isolation_forest
https://en.wikipedia.org/wiki/Dempster%E2%80%93Shafer_theory
https://en.wikipedia.org/wiki/Google_JAX
https://en.wikipedia.org/wiki/History_of_artificial_intelligence
https://en.wikipedia.org/wiki/OpenAI
https://en.wikipedia.org/wiki/List_of_datasets_in_computer_vision_and_image_processing
https://en.wikipedia.org/wiki/Trevor_Hastie
https://en.wikipedia.org/wiki/Computational_chemistry
https://en.wikipedia.org/wiki/Michael_I._Jordan
https://en.wikipedia.org/wiki/Dynamic_programming
https://en.wikipedia.org/wiki/PolyAnalyst
https://en.wikipedia.org/wiki/Requirements_analysis
https://en.wikipedia.org/wiki/Chatbot
https://en.wikipedia.org/wiki/New_York_Times
https://en.wikipedia.org/wiki/Claude_(language_model)
https://en.wikipedia.org/wiki/World_Wide_Web
https://en.wikipedia.org/wiki/Topological_deep_learning
https://en.wikipedia.org/wiki/Reasoning_language_model
https://en.wikipedia.org/wiki/Logistic_regression
https://en.wikipedia.org/wiki/Harvard_University
https://en.wikipedia.org/wiki/State%E2%80%93action%E2%80%93reward%E2%80%93state%E2%80%93action
https://en.wikipedia.org/wiki/Human_brain
https://en.wikipedia.org/wiki/Doi_(identifier)
https://en.wikipedia.org/wiki/Regulation_of_artificial_intelligence
https://en.wikipedia.org/wiki/Training_data
https://en.wikipedia.org/wiki/Social_network
https://en.wikipedia.org/wiki/Markov_decision_process
https://en.wikipedia.org/wiki/Security_hacker
https://en.wikipedia.org/wiki/IBM_Watsonx
https://en.wikipedia.org/wiki/Quantum_computing
https://en.wikipedia.org/wiki/Probability
https://en.wikipedia.org/wiki/Investigative_journalism
https://en.wikipedia.org/wiki/Claude_Shannon
https://en.wikipedia.org/wiki/Vapnik%E2%80%93Chervonenkis_theory
https://en.wikipedia.org/wiki/Tomasz_Imieli%C5%84ski
https://en.wikipedia.org/wiki/Density_estimation
https://en.wikipedia.org/wiki/Real_number
https://en.wikipedia.org/wiki/Dream_Machine_(text-to-video_model)
https://en.wikipedia.org/wiki/Web_usage_mining
https://en.wikipedia.org/wiki/Network_scheduler
https://en.wikipedia.org/wiki/Precision_agriculture
https://en.wikipedia.org/wiki/Inductive_reasoning
https://en.wikipedia.org/wiki/Manifold_regularisation
https://en.wikipedia.org/wiki/Sample_(statistics)
https://en.wikipedia.org/wiki/Feedforward_neural_network
https://en.wikipedia.org/wiki/Splunk
https://en.wikipedia.org/wiki/Non-negative_matrix_factorization
https://en.wikipedia.org/wiki/Friendly_artificial_intelligence
https://en.wikipedia.org/wiki/Leaf_node
https://en.wikipedia.org/wiki/Open-source_software
https://en.wikipedia.org/wiki/Brain
https://en.wikipedia.org/wiki/ISBN_(identifier)
https://en.wikipedia.org/wiki/Data_compression#Machine_learning
https://en.wikipedia.org/wiki/Pricing
https://en.wikipedia.org/wiki/Feature_learning
https://en.wikipedia.org/wiki/Oliver_Selfridge
https://en.wikipedia.org/wiki/Backpropagation
https://en.wikipedia.org/wiki/Directed_acyclic_graph
https://en.wikipedia.org/wiki/Multimedia_database
https://en.wikipedia.org/wiki/Music_and_artificial_intelligence
https://en.wikipedia.org/wiki/James_Goodnight
https://en.wikipedia.org/wiki/Bing_Chat
https://en.wikipedia.org/wiki/Recursive_self-improvement
https://en.wikipedia.org/wiki/Gemini_(language_model)
https://en.wikipedia.org/wiki/MATLAB
https://en.wikipedia.org/wiki/ADALINE
https://en.wikipedia.org/wiki/Data_mining
https://en.wikipedia.org/wiki/Semantic_analysis_(machine_learning)
https://en.wikipedia.org/wiki/Independent_component_analysis
https://en.wikipedia.org/wiki/Artificial_consciousness
https://en.wikipedia.org/wiki/PyTorch
https://en.wikipedia.org/wiki/Loss_functions_for_classification
https://en.wikipedia.org/wiki/Learning_classifier_system
https://en.wikipedia.org/wiki/Computing_Machinery_and_Intelligence
https://en.wikipedia.org/wiki/Inductive_programming
https://en.wikipedia.org/wiki/15.ai
https://en.wikipedia.org/wiki/Bootstrap_aggregating
https://en.wikipedia.org/wiki/Fairness_(machine_learning)
https://en.wikipedia.org/wiki/Swarm_intelligence
https://en.wikipedia.org/wiki/Stochastic_process
https://en.wikipedia.org/wiki/False_positive_rate
https://en.wikipedia.org/wiki/Form_factor_(design)
https://en.wikipedia.org/wiki/Sentiment_analysis
https://en.wikipedia.org/wiki/Field-programmable_gate_array
https://en.wikipedia.org/wiki/Azure_Machine_Learning
https://en.wikipedia.org/wiki/Educational_technology
https://en.wikipedia.org/wiki/Peptide_sequence
https://en.wikipedia.org/wiki/Glossary_of_artificial_intelligence
https://en.wikipedia.org/wiki/Algorithmic_transparency
https://en.wikipedia.org/wiki/Misinformation
https://en.wikipedia.org/wiki/DeepMind
https://en.wikipedia.org/wiki/Recraft
https://en.wikipedia.org/wiki/BIRCH
https://en.wikipedia.org/wiki/OpenAI_o4-mini
https://en.wikipedia.org/wiki/Herbert_A._Simon
https://en.wikipedia.org/wiki/White-box_testing
https://en.wikipedia.org/wiki/Udio
https://en.wikipedia.org/wiki/Chinese_room
https://en.wikipedia.org/wiki/Fuzzy_logic
https://en.wikipedia.org/wiki/Hidden_Markov_model
https://en.wikipedia.org/wiki/Residual_neural_network
https://en.wikipedia.org/wiki/Decision_tree_learning
https://en.wikipedia.org/wiki/Functional_programming
https://en.wikipedia.org/wiki/Reinforcement_learning_from_human_feedback
https://en.wikipedia.org/wiki/Richard_O._Duda
https://en.wikipedia.org/wiki/Imitation_learning
https://en.wikipedia.org/wiki/Computer_architecture
https://en.wikipedia.org/wiki/David_Silver_(computer_scientist)
https://en.wikipedia.org/wiki/Interaction_design
https://en.wikipedia.org/wiki/GPT-2
https://en.wikipedia.org/wiki/Discrete_mathematics
https://en.wikipedia.org/wiki/Factor_analysis
https://en.wikipedia.org/wiki/Automated_decision-making
https://en.wikipedia.org/wiki/Bias%E2%80%93variance_decomposition
https://en.wikipedia.org/wiki/Biology
https://en.wikipedia.org/wiki/GPT-4o
https://en.wikipedia.org/wiki/Mathematical_software
https://en.wikipedia.org/wiki/Stochastic_gradient_descent
https://en.wikipedia.org/wiki/T5_(language_model)
https://en.wikipedia.org/wiki/DeepSpeed
https://en.wikipedia.org/wiki/Geolitica
https://en.wikipedia.org/wiki/Computer_graphics
https://en.wikipedia.org/wiki/David_J._C._MacKay
https://en.wikipedia.org/wiki/Artificial_intelligence_in_industry
https://en.wikipedia.org/wiki/Association_rule_learning
https://en.wikipedia.org/wiki/Astroinformatics
https://en.wikipedia.org/wiki/False_negative_rate
https://en.wikipedia.org/wiki/Decision_support_system
https://en.wikipedia.org/wiki/Recurrent_neural_network
https://en.wikipedia.org/wiki/Artificial_intelligence_in_government
https://en.wikipedia.org/wiki/Random_forest
https://en.wikipedia.org/wiki/Bootstrapping_(statistics)
https://en.wikipedia.org/wiki/Nils_Nilsson_(researcher)
https://en.wikipedia.org/wiki/Electronic_voting
https://en.wikipedia.org/wiki/Similarity_learning
https://en.wikipedia.org/wiki/Computer_data_storage
https://en.wikipedia.org/wiki/Yooreeka
https://en.wikipedia.org/wiki/Neural_radiance_field
https://en.wikipedia.org/wiki/Restricted_Boltzmann_machine
https://en.wikipedia.org/wiki/Document_management_system
https://en.wikipedia.org/wiki/Batch_learning
https://en.wikipedia.org/wiki/Robot_learning
https://en.wikipedia.org/wiki/List_of_computer_size_categories
https://en.wikipedia.org/wiki/The_Wall_Street_Journal
https://en.wikipedia.org/wiki/Learning_curve_(machine_learning)
https://en.wikipedia.org/wiki/International_Joint_Conference_on_Artificial_Intelligence
https://en.wikipedia.org/wiki/Computational_anatomy
https://en.wikipedia.org/wiki/Concurrent_computing
https://en.wikipedia.org/wiki/Statistical_inference
https://en.wikipedia.org/wiki/Data_quality
https://en.wikipedia.org/wiki/AlphaZero
https://en.wikipedia.org/wiki/Network_security
https://en.wikipedia.org/wiki/Boltzmann_machine
https://en.wikipedia.org/wiki/Probabilistic_classification
https://en.wikipedia.org/wiki/Machine_learning_in_physics
https://en.wikipedia.org/wiki/Manifold_learning
https://en.wikipedia.org/wiki/International_Conference_on_Intelligent_Robots_and_Systems
https://en.wikipedia.org/wiki/Self-organizing_map
https://en.wikipedia.org/wiki/Aidan_Gomez
https://en.wikipedia.org/wiki/Highway_network
https://en.wikipedia.org/wiki/Linear_regression
https://en.wikipedia.org/wiki/Linear_classifier
https://en.wikipedia.org/wiki/ArXiv
https://en.wikipedia.org/wiki/Coefficient_of_determination
https://en.wikipedia.org/wiki/Sparse_dictionary_learning
https://en.wikipedia.org/wiki/Mutation_(genetic_algorithm)
https://en.wikipedia.org/wiki/Programming_paradigm
https://en.wikipedia.org/wiki/Cross-validation_(statistics)
https://en.wikipedia.org/wiki/Machine_learning_control
https://en.wikipedia.org/wiki/Search_engines
https://en.wikipedia.org/wiki/Machine_learning_in_earth_sciences
https://en.wikipedia.org/wiki/Neuromorphic_engineering
https://en.wikipedia.org/wiki/KXEN_Inc.
https://en.wikipedia.org/wiki/International_Conference_on_Machine_Learning
https://en.wikipedia.org/wiki/Dynamic_Bayesian_network
https://en.wikipedia.org/wiki/Linear_discriminant_analysis
https://en.wikipedia.org/wiki/Nature_Machine_Intelligence
https://en.wikipedia.org/wiki/Rectifier_(neural_networks)
https://en.wikipedia.org/wiki/Application_security
https://en.wikipedia.org/wiki/Machine_learning_in_bioinformatics
https://en.wikipedia.org/wiki/Augmented_reality
https://en.wikipedia.org/wiki/Array_data_structure
https://en.wikipedia.org/wiki/Mathematical_analysis
https://en.wikipedia.org/wiki/Ontology_learning
https://en.wikipedia.org/wiki/Adaptive_website
https://en.wikipedia.org/wiki/Computing
https://en.wikipedia.org/wiki/MuZero
https://en.wikipedia.org/wiki/Apache_Spark#MLlib_Machine_Learning_Library
https://en.wikipedia.org/wiki/Randomized_algorithm
https://en.wikipedia.org/wiki/Differentiable_programming
https://en.wikipedia.org/wiki/Centroid
https://en.wikipedia.org/wiki/Green_computing
https://en.wikipedia.org/wiki/ELKI
https://en.wikipedia.org/wiki/Network_architecture
https://en.wikipedia.org/wiki/Diffusion_process
https://en.wikipedia.org/wiki/Deep_learning_speech_synthesis
https://en.wikipedia.org/wiki/Carla_Brodley
https://en.wikipedia.org/wiki/Map_(mathematics)
https://en.wikipedia.org/wiki/Whisper_(speech_recognition_system)
https://en.wikipedia.org/wiki/Sequence_mining
https://en.wikipedia.org/wiki/Formal_language
https://en.wikipedia.org/wiki/Binary_classifier
https://en.wikipedia.org/wiki/Software_engineering
https://en.wikipedia.org/wiki/Discovery_(observation)
https://en.wikipedia.org/wiki/DALL-E
https://en.wikipedia.org/wiki/Artificial_intelligence
https://en.wikipedia.org/wiki/Springer_Science%2BBusiness_Media
https://en.wikipedia.org/wiki/Manifold_hypothesis
https://en.wikipedia.org/wiki/Memtransistor
https://en.wikipedia.org/wiki/Pedro_Domingos
https://en.wikipedia.org/wiki/Ensemble_methods
https://en.wikipedia.org/wiki/Text_corpus
https://en.wikipedia.org/wiki/Large_language_model
https://en.wikipedia.org/wiki/Geoffrey_Hinton
https://en.wikipedia.org/wiki/Point-of-sale
https://en.wikipedia.org/wiki/Gordon_Plotkin
https://en.wikipedia.org/wiki/Action_selection
https://en.wikipedia.org/wiki/Google_APIs
https://en.wikipedia.org/wiki/T-distributed_stochastic_neighbor_embedding
https://en.wikipedia.org/wiki/Software_repository
https://en.wikipedia.org/wiki/Dictionary_learning
https://en.wikipedia.org/wiki/Graphics_processing_unit
https://en.wikipedia.org/wiki/Real_numbers
https://en.wikipedia.org/wiki/Uber
https://en.wikipedia.org/wiki/Software_design
https://en.wikipedia.org/wiki/Neuromorphic_computing
https://en.wikipedia.org/wiki/Statistical_classification
https://en.wikipedia.org/wiki/Medicine
https://en.wikipedia.org/wiki/Control_flow
https://en.wikipedia.org/wiki/Lethal_autonomous_weapon
https://en.wikipedia.org/wiki/Multimodal_learning
https://en.wikipedia.org/wiki/Machine_translation
https://en.wikipedia.org/wiki/Alan_Turing
https://en.wikipedia.org/wiki/Kernel_regression
https://en.wikipedia.org/wiki/Microcontrollers
https://en.wikipedia.org/wiki/Tensor
https://en.wikipedia.org/wiki/Artificial_intelligence_systems_integration
https://en.wikipedia.org/wiki/Local_outlier_factor
https://en.wikipedia.org/wiki/S2CID_(identifier)
https://en.wikipedia.org/wiki/Loss_function
https://en.wikipedia.org/wiki/Information_system
https://en.wikipedia.org/wiki/Climate_Science
https://en.wikipedia.org/wiki/Posterior_probabilities
https://en.wikipedia.org/wiki/Internet_fraud
https://en.wikipedia.org/wiki/Ian_Goodfellow
https://en.wikipedia.org/wiki/Multi-agent_reinforcement_learning
https://en.wikipedia.org/wiki/Compiler_construction
https://en.wikipedia.org/wiki/Information_theory
https://en.wikipedia.org/wiki/Conditional_independence
https://en.wikipedia.org/wiki/Bayesian_optimisation
https://en.wikipedia.org/wiki/Semi-supervised_learning
https://en.wikipedia.org/wiki/Mechanistic_interpretability
https://en.wikipedia.org/wiki/Philosophy_of_artificial_intelligence
https://en.wikipedia.org/wiki/Autonomous_car
https://en.wikipedia.org/wiki/Organization_of_Behavior
https://en.wikipedia.org/wiki/Aurora_(text-to-image_model)
https://en.wikipedia.org/wiki/Multiprocessing
https://en.wikipedia.org/wiki/Operational_definition
https://en.wikipedia.org/wiki/Manifold
https://en.wikipedia.org/wiki/Flux_(text-to-image_model)
https://en.wikipedia.org/wiki/KNIME
https://en.wikipedia.org/wiki/Decision_tree
https://en.wikipedia.org/wiki/Uncanny_valley
https://en.wikipedia.org/wiki/Concurrency_(computer_science)
https://en.wikipedia.org/wiki/Data_collection
https://en.wikipedia.org/wiki/Automata_theory
https://en.wikipedia.org/wiki/Outline_of_machine_learning
https://en.wikipedia.org/wiki/Image_compression
https://en.wikipedia.org/wiki/OPTICS_algorithm
https://en.wikipedia.org/wiki/Theory_of_computation
https://en.wikipedia.org/wiki/Virtual_machine
https://en.wikipedia.org/wiki/Feature_vector
https://en.wikipedia.org/wiki/Christopher_M._Bishop
https://en.wikipedia.org/wiki/Activation_function
https://en.wikipedia.org/wiki/Multi-agent_system
https://en.wikipedia.org/wiki/Torch_(machine_learning)
https://en.wikipedia.org/wiki/Neuron
https://en.wikipedia.org/wiki/Very-large-scale_integration
https://en.wikipedia.org/wiki/Corinna_Cortes
https://en.wikipedia.org/wiki/Neural_machine_translation
https://en.wikipedia.org/wiki/Structured_prediction
https://en.wikipedia.org/wiki/Software_suite
https://en.wikipedia.org/wiki/Ashish_Vaswani
https://en.wikipedia.org/wiki/Computational_learning_theory
https://en.wikipedia.org/wiki/Facial_recognition_system
https://en.wikipedia.org/wiki/Middleware
https://en.wikipedia.org/wiki/Applications_of_artificial_intelligence#Finance
https://en.wikipedia.org/wiki/Genetic_algorithm
https://en.wikipedia.org/wiki/Operating_system
https://en.wikipedia.org/wiki/Ethics
https://en.wikipedia.org/wiki/Deepfake
https://en.wikipedia.org/wiki/Mamba_(deep_learning_architecture)
https://en.wikipedia.org/wiki/Stuart_J._Russell
https://en.wikipedia.org/wiki/BLOOM_(language_model)
https://en.wikipedia.org/wiki/Lotfi_A._Zadeh
https://en.wikipedia.org/wiki/Social_software
https://en.wikipedia.org/wiki/Intrusion_detection
https://en.wikipedia.org/wiki/Backdoor_(computing)
https://en.wikipedia.org/wiki/Free_Lossless_Audio_Codec
https://en.wikipedia.org/wiki/STATISTICA
https://en.wikipedia.org/wiki/Anomaly_detection
https://en.wikipedia.org/wiki/Nerve_cells
